============================================================
FL COMPARISON RESULTS - ANTICLUSTERING
============================================================

Configuration:
  Dataset: mnist
  Method: anticlustering
  Clients: 30
  Rounds: 50
  Local Epochs: 5
  Batch Size: 32
  IID: False

Results:
  Final Accuracy: 0.9932
  Final Loss: 0.0235
  Total Time: 4754.99s
  Avg Time/Round: 95.10s

Round-by-Round Results:
------------------------------------------------------------
Round    Accuracy     Loss         Time(s)   
------------------------------------------------------------
1        0.9180       2.0115       194.95    
2        0.9615       0.1271       93.26     
3        0.9748       0.0756       116.11    
4        0.9809       0.0583       92.90     
5        0.9841       0.0490       87.43     
6        0.9860       0.0434       85.87     
7        0.9871       0.0393       88.02     
8        0.9877       0.0365       81.34     
9        0.9889       0.0339       85.53     
10       0.9891       0.0328       87.61     
11       0.9895       0.0316       85.94     
12       0.9896       0.0311       87.26     
13       0.9901       0.0302       86.38     
14       0.9904       0.0291       85.53     
15       0.9908       0.0288       85.10     
16       0.9913       0.0276       85.00     
17       0.9912       0.0279       84.86     
18       0.9909       0.0279       88.23     
19       0.9910       0.0277       82.16     
20       0.9917       0.0270       86.88     
21       0.9916       0.0260       84.70     
22       0.9923       0.0261       84.87     
23       0.9922       0.0256       85.40     
24       0.9923       0.0256       86.85     
25       0.9920       0.0250       86.71     
26       0.9924       0.0251       92.09     
27       0.9928       0.0251       85.97     
28       0.9917       0.0251       78.47     
29       0.9928       0.0248       79.85     
30       0.9929       0.0249       81.71     
31       0.9928       0.0245       77.09     
32       0.9932       0.0238       79.18     
33       0.9927       0.0242       83.20     
34       0.9931       0.0237       78.10     
35       0.9932       0.0239       76.93     
36       0.9932       0.0237       85.94     
37       0.9934       0.0234       97.88     
38       0.9928       0.0241       112.90    
39       0.9932       0.0236       109.93    
40       0.9934       0.0232       112.45    
41       0.9934       0.0243       110.02    
42       0.9933       0.0237       111.14    
43       0.9929       0.0240       109.51    
44       0.9936       0.0237       118.91    
45       0.9931       0.0241       185.19    
46       0.9931       0.0245       97.49     
47       0.9935       0.0243       98.34     
48       0.9930       0.0237       99.42     
49       0.9935       0.0234       95.85     
50       0.9932       0.0235       98.53     
============================================================
